emp_id,name,dept_id,salary,hire_date,job_level,performance_rating
835570,Employee_0,3407,31494.0,2020-09-29,Junior,5
758037,Employee_1,2483,94437.0,2012-12-26,Mid,3
650188,Employee_2,6255,74082.0,2014-09-08,Mid,5
565587,Employee_3,2162,81634.0,2011-03-29,Mid,4
409156,Employee_4,4898,40956.0,2011-07-28,Mid,3
220315,Employee_5,7383,100721.0,2010-12-14,Mid,2
104349,Employee_6,2790,47211.0,2023-03-31,Junior,3
251912,Employee_7,2720,73435.0,2018-01-10,Junior,3
422830,Employee_8,3321,82831.0,2020-11-04,Mid,2
746528,Employee_9,2162,38369.0,2019-07-31,senior,4
300121,Employee_10,7017,68328.0,2012-02-03,Junior,5
210033,Employee_11,4688,65768.0,2018-01-13,senior,3
933719,Employee_12,6696,37543.0,2020-07-26,senior,3
177687,Employee_13,7220,236279.0,2015-09-05,Mid,2
114296,Employee_14,1700,103950.0,2012-08-21,senior,5
198085,Employee_15,1676,106953.0,2024-03-17,Junior,4
175810,Employee_16,2162,64236.0,2020-07-10,senior,3
584328,Employee_17,5067,59231.0,2016-03-15,Mid,5
131208,Employee_18,6717,149136.0,2011-10-03,Junior,1
220414,Employee_19,4806,46827.0,2014-11-08,Mid,2
525396,Employee_20,4688,65376.0,2014-06-13,senior,5
415050,Employee_21,2631,98580.0,2010-08-30,Mid,3
407837,Employee_22,3214,36616.0,2019-03-13,Mid,3
882003,Employee_23,7975,53877.0,2015-12-19,Mid,3
202936,Employee_24,2642,102788.0,2010-08-24,Junior,4
249034,Employee_25,3214,43960.0,2011-03-03,Mid,3
653309,Employee_26,2483,119130.0,2011-03-15,Mid,5
169210,Employee_27,7975,97882.0,2020-06-29,Junior,5
195171,Employee_28,2056,34983.0,2017-05-30,Junior,5
968303,Employee_29,4538,42128.0,2021-09-07,Mid,4
276647,Employee_30,2720,45203.0,2010-05-17,senior,4
869208,Employee_31,1360,42671.0,2018-01-09,Mid,3
